,Unnamed: 0,ID,Population,Labor Part.,Employment,Unemployment,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT,Total_weighted
222,222,39035,1028469,64.5,58.8,8.7,2007,26.3,0.5,0.8666666666666667,30.0,3617.0,108510.0
223,223,39041,120609,74.6,71.5,4.0,2007,28.5,0.8333333333333334,0.8333333333333334,6.0,375.0,2250.0
224,224,39049,862016,68.9,64.5,6.2,2007,32.617647058823536,0.5,0.9411764705882352,34.0,5027.0,170918.0
225,225,39057,124999,66.8,61.4,5.6,2007,20.5,0.0,0.5,2.0,301.0,602.0
226,226,39061,664154,65.4,60.9,6.9,2007,20.96,0.44,0.84,25.0,3288.0,82200.0
227,227,39089,122621,68.6,63.6,7.2,2007,24.0,0.0,1.0,1.0,122.0,122.0
228,228,39113,426937,63.5,58.0,8.0,2007,47.0,0.6666666666666666,1.0,3.0,368.0,1104.0
229,229,39133,126379,70.8,66.3,6.2,2007,29.33333333333333,0.6666666666666666,1.0,3.0,133.0,399.0
230,230,39153,429398,65.3,60.4,7.5,2007,22.6,0.2,0.8,5.0,541.0,2705.0
231,231,39165,155984,70.7,68.0,3.7,2007,28.0,0.5,1.0,2.0,213.0,426.0
232,232,41017,123813,66.1,63.0,4.7,2007,26.0,0.5,0.5,2.0,266.0,532.0
233,233,41029,161664,62.0,57.2,7.7,2007,22.83333333333333,0.6666666666666666,1.0,6.0,1106.0,6636.0
234,234,41039,282804,62.7,59.0,5.8,2007,27.142857142857146,1.0,1.0,7.0,1362.0,9534.0
235,235,41047,237320,64.5,59.0,8.5,2007,20.818181818181817,0.18181818181818185,0.18181818181818185,11.0,1786.0,19646.0
236,236,42003,997845,63.0,59.3,5.7,2007,27.095238095238088,0.4761904761904762,0.9523809523809524,21.0,3819.0,80199.0
